X,Y,OBJECTID,CT_NO,MAP_LABEL_NAME,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA_NAME,LANDMARK_LOCATION,TRAFFIC_DIRECTION,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-12908868.9475,3985746.7283,53,90800047,Cactus City Safety Roadside Rest Area - Wb, , , ,72, ,33.678742,-115.962331,8,RIV,Riverside,10,Cactus City,15 mi. E. of Indio,W,Yes,Yes,Yes,No,Yes,No,No,Yes
-12965400.5697,4168163.11,54,90800056,Clyde V. Kane Safety Roadside Rest Area - Nb,Newberry Springs,92365, ,107.4, ,35.031498,-116.470163,8,SBD,San Bernardino,15,Clyde V. Kane,30 mi. E. of Barstow,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12965455.3391,4168589.1803,55,90800057,Clyde V. Kane Safety Roadside Rest Area - Sb,Newberry Springs,92365, ,107.4, ,35.034632,-116.470655,8,SBD,San Bernardino,15,Clyde V. Kane,30 mi. E. of Barstow,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12971083.7624,4136941.6585,56,90800065,Desert Oasis Safety Roadside Rest Area - Wb,Newberry Springs,92365,R,29.3, ,34.801519,-116.521216,8,SBD,San Bernardino,40,Desert Oasis,9 mi. E. of Newberry,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12826129.5069,4137839.3008,57,90800074,John Wilke Safety Roadside Rest Area - Eb,Baker,92309, ,105.5, ,34.80814,-115.21907,8,SBD,San Bernardino,40,John Wilkie,45 mi. W. of Needles,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12826179.8233,4138161.3053,58,90800075,John Wilke Safety Roadside Rest Area - Wb,Baker,92309, ,105.5, ,34.810515,-115.219522,8,SBD,San Bernardino,40,John Wilkie,45 mi. W. of Needles,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12879591.4876,4222957.8596,59,90800119,Valley Wells Safety Roadside Rest Area - Eb,Nipton,92364, ,161.15, ,35.433558,-115.699327,8,SBD,San Bernardino,15,Valley Wells,26 mi. W. of Nevada State Line,N,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-12879833.9414,4223272.7819,60,90800120,"Valley Wells Safety Roadside Rest Area - Wb
",Nipton,92364, ,161.15, ,35.435863,-115.701505,8,SBD,San Bernardino,15,Valley Wells,26 mi. W. of Nevada State Line,S,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
-12986964.373,4018266.9196,61,90800127,Whitewater Safety Roadside Rest Area - Eb,Palm Springs,92262, ,26.18, ,33.9215,-116.663874,8,RIV,Riverside,10,Whitewater,1 mi. W. of Whitewater O.C.,E,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-12986987.8614,4018484.9182,62,90800128,Whitewater Safety Roadside Rest Area - Wb,Palm Springs,92262, ,26.18, ,33.923125,-116.664085,8,RIV,Riverside,10,Whitewater,1 mi. W. of Whitewater O.C.,W,Yes,Yes,Yes,Yes,Yes,No,No,Yes
